codigo,disciplina,turma,horario,local,docente
01,2025.1,BRUNO CESAR RIBAS (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,60
01,2025.1,EDSON ALVES DA COSTA JUNIOR (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,50
01,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,90
02,2025.1,FABIO MACEDO MENDES (60h),"46T45
											


		

											Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,90
03,2025.1,FABIO MACEDO MENDES (60h),"46T6  46N1
											


		

											Quarta-feira 18:00 às 19:50Sexta-feira 18:00 às 19:50",,90
01,2025.1,VINICIUS DE CARVALHO RISPOLI (60h),"25T6  25N1
											


		

											Segunda-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,60
01,2025.1,RONNE TOLEDO (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45
01,2025.1,MARCUS VINICIUS CHAFFIM COSTA (60h),"46M5  46T1
											


		

											Quarta-feira 12:00 às 13:50Sexta-feira 12:00 às 13:50",,40
01,2025.1,SANDRO AUGUSTO PAVLIK HADDAD (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,30
01,2025.1,RITA DE CASSIA SILVA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,40
01,2025.1,JORGE ANDRES CORMANE ANGARITA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,40
01,2025.1,BRUNO CESAR RIBAS (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,120
01,2025.1,RAFAEL CASTILHO FARIA MENDES (60h),"2M1234
											


		

											Segunda-feira 08:00 às 11:50",,30
02,2025.1,WILLIAM REIS SILVA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,25
01,2025.1,OLEXIY SHYNKARENKO (75h),"35T45 6T4
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50Sexta-feira 16:00 às 16:55",,30
01,2025.1,ARTEM ANDRIANOV (75h),"2M5 35M12
											


		

											Segunda-feira 12:00 às 12:55Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,45
01,2025.1,RAFAEL RODRIGUES DA SILVA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,16
01,2025.1,OLEXIY SHYNKARENKO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,30
01,2025.1,"THIAGO FELIPPE KURUDEZ CORDEIRO (30h)
										
										
										POLLIANA CANDIDA OLIVEIRA MARTINS (30h)","46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,30
01,2025.1,ANDREIA ALVES COSTA LINDINGER (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45
01,2025.1,WILLIAM REIS SILVA (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45
01,2025.1,SERGIO HENRIQUE DA SILVA CARNEIRO (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45
01,2025.1,"MAURICIO SERRANO (30h)
										
										
										MILENE SERRANO (30h)","2T2345
											


		

											Segunda-feira 14:00 às 17:50",,30
01,2025.1,WANDER CLEBER MARIA PEREIRA DA SILVA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,20
01,2025.1,RHANDER VIANA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,20
01,2025.1,EDISON GUSTAVO CUEVA GALARRAGA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,20
01,2025.1,VANDOR ROBERTO VILARDI RISSOLI (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,80
02,2025.1,VANDOR ROBERTO VILARDI RISSOLI (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80
01,2025.1,RONNE TOLEDO (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,45
01,2025.1,RAFAEL CASTILHO FARIA MENDES (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45
02,2025.1,EULER DE VILHENA GARCIA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,90
03,2025.1,LUCIANO EMIDIO NEVES DA FONSECA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,90
01,2025.1,GILMAR SILVA BESERRA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,60
01,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),"6M12
											


		

											Sexta-feira 08:00 às 09:50",,24
02,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),"6M34
											


		

											Sexta-feira 10:00 às 11:50",,24
03,2025.1,MARCUS VINICIUS CHAFFIM COSTA (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,24
