codigo,disciplina,turma,horario,local,docente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,ementa
01,FCTE0001 - FUNDAMENTOS LÓGICOS DE INTELIGÊNCIA ARTIFICIAL,BRUNO CESAR RIBAS (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FCTE0002 - PARADIGMAS DE SOLUÇÃO DE PROBLEMAS,EDSON ALVES DA COSTA JUNIOR (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,50,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0003 - COMPILADORES 1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0003 - COMPILADORES 1,FABIO MACEDO MENDES (60h),"46T45
											


		

											Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0003 - COMPILADORES 1,FABIO MACEDO MENDES (60h),"46T6  46N1
											


		

											Quarta-feira 18:00 às 19:50Sexta-feira 18:00 às 19:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0006 - FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA,VINICIUS DE CARVALHO RISPOLI (60h),"25T6  25N1
											


		

											Segunda-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0008 - SISTEMAS AEROESPACIAIS,RONNE TOLEDO (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0015 - PROCESSAMENTO DIGITAL DE IMAGENS,MARCUS VINICIUS CHAFFIM COSTA (60h),"46M5  46T1
											


		

											Quarta-feira 12:00 às 13:50Sexta-feira 12:00 às 13:50",,40,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0017 - PROJETOS DE CIRCUITOS INTEGRADOS 1,SANDRO AUGUSTO PAVLIK HADDAD (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0023 - DINÂMICA DOS MECANISMOS,RITA DE CASSIA SILVA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,40,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA,JORGE ANDRES CORMANE ANGARITA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,40,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0030 - ESTRUTURAS DE DADOS 2,BRUNO CESAR RIBAS (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,120,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,RAFAEL CASTILHO FARIA MENDES (60h),"2M1234
											


		

											Segunda-feira 08:00 às 11:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL,WILLIAM REIS SILVA (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,25,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0038 - AERODINÂMICA DE SISTEMAS AEROESPACIAIS,OLEXIY SHYNKARENKO (75h),"35T45 6T4
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50Sexta-feira 16:00 às 16:55",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS,ARTEM ANDRIANOV (75h),"2M5 35M12
											


		

											Segunda-feira 12:00 às 12:55Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO,RAFAEL RODRIGUES DA SILVA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0043 - DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS,OLEXIY SHYNKARENKO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0045 - MECÂNICA DO VÔO,"THIAGO FELIPPE KURUDEZ CORDEIRO (30h)
										
										
										POLLIANA CANDIDA OLIVEIRA MARTINS (30h)","46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0047 - PROCESSOS PETROQUÍMICOS,ANDREIA ALVES COSTA LINDINGER (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0048 - MECÂNICA DO VOO ESPACIAL,WILLIAM REIS SILVA (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
